long,lat,Total Observations,Total Citations,Total Accidents,Total Injuries,Total Fatalities,geometry,Observations per Accident,Accidents per Observation,Observations per Injury,Injuries per Observation,Observations per Fatality,Fatalities per Observation,Normalized Accidents per Observation,Normalized Observations per Injury,Normalized Observations per Fatality,Normalized Total Injuries,Normalized Total Accidents,Normalized Observations per Accident,Normalized Total Citations,Normalized Fatalities per Observation,Normalized Total Fatalities,Normalized Injuries per Observation,Normalized Total Observations
-77.455,39.425,80,33,0,0,0,POINT (-77.455 39.425),0.0,0.0,0.0,0.0,0.0,0.0,-0.6495560850031369,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.23275638616484184,-0.5407555079036536,-0.3354988389422557,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.43060136752600725
-77.445,39.395,33,25,5,0,0,POINT (-77.44499999999999 39.395),6.6,0.15151515151515152,0.0,0.0,0.0,0.0,1.6738753947330716,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.18013865558497974,-0.4712365711238822,-0.3444363921289174,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.46025665943973076
-77.435,39.205,35,28,5,4,0,POINT (-77.435 39.205),7.0,0.14285714285714285,8.75,0.11428571428571428,0.0,0.0,1.5411078816052879,-0.41128835505506006,-0.17065794835774026,-0.04925985364970576,-0.18013865558497974,-0.4670233022281385,-0.3410848096839193,-0.07130046983401872,-0.20458127844877552,3.518971169938396,-0.4589947321242532
-77.43,39.215,429,54,0,0,0,POINT (-77.43000000000001 39.215),0.0,0.0,0.0,0.0,0.0,0.0,-0.6495560850031369,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.23275638616484184,-0.5407555079036536,-0.31203776182726867,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.21039505097516703
-77.43,39.425,40,10,2,0,0,POINT (-77.43000000000001 39.425),20.0,0.05,0.0,0.0,0.0,0.0,0.11717630330981192,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.211709293932897,-0.3300920631164676,-0.36119430435390815,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.45583991383555916
-77.425,39.22,95,74,4,0,0,POINT (-77.425 39.22),23.75,0.042105263157894736,0.0,0.0,0.0,0.0,-0.003886705371180035,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.19066220170095216,-0.2905926672188702,-0.2896938788606144,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.4211369126599253
-77.42,39.14,30,4,0,0,0,POINT (-77.42 39.14),0.0,0.0,0.0,0.0,0.0,0.0,-0.6495560850031369,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.23275638616484184,-0.5407555079036536,-0.36789746924390443,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.46214955041294714
-77.42,39.145,229,74,2,2,0,POINT (-77.42 39.145),114.5,0.008733624454148471,114.5,0.008733624454148471,0.0,0.0,-0.5156290302759843,-0.044306037038679746,-0.17065794835774026,-0.13875858639711885,-0.211709293932897,0.6652927135029862,-0.2896938788606144,-0.07130046983401872,-0.20458127844877552,-0.058939312891669975,-0.3365877825229265
-77.42,39.185,31,15,7,7,0,POINT (-77.42 39.185),4.428571428571429,0.22580645161290322,4.428571428571429,0.22580645161290322,0.0,0.0,2.8131063138295347,-0.4262849306984177,-0.17065794835774026,0.08498824547141388,-0.1590915633530349,-0.49410860227220527,-0.3556083336122446,-0.07130046983401872,-0.20458127844877552,7.299201535557945,-0.46151858675520835
-77.42,39.225,412,95,2,0,1,POINT (-77.42 39.225),206.0,0.0048543689320388345,0.0,0.0,412.0,0.0024271844660194173,-0.5751160473028506,-0.4416533222668173,0.44263386766015794,-0.22825731914453196,-0.211709293932897,1.6290779734043621,-0.26623280174562736,0.8211177234970654,1.310222746535908,-0.3549839154899024,-0.22112143315672658
-77.415,39.13,44,15,0,0,0,POINT (-77.41500000000001 39.13),0.0,0.0,0.0,0.0,0.0,0.0,-0.6495560850031369,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.23275638616484184,-0.5407555079036536,-0.3556083336122446,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.453316059204604
-77.415,39.145,401,136,5,4,0,POINT (-77.41500000000001 39.145),80.2,0.012468827930174564,100.25,0.00997506234413965,0.0,0.0,-0.45835100063581796,-0.09375755506925582,-0.17065794835774026,-0.04925985364970576,-0.18013865558497974,0.30400490569296224,-0.220427841663986,-0.07130046983401872,-0.20458127844877552,-0.0168581599038913,-0.22806203339185335
-77.415,39.15,141,39,0,0,0,POINT (-77.41500000000001 39.15),0.0,0.0,0.0,0.0,0.0,0.0,-0.6495560850031369,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.23275638616484184,-0.5407555079036536,-0.3287956740522594,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.39211258440394064
-77.415,39.155,33,15,1,1,0,POINT (-77.41500000000001 39.155),33.0,0.030303030303030304,33.0,0.030303030303030304,0.0,0.0,-0.18486978905589518,-0.3271340173539043,-0.17065794835774026,-0.1835079527708254,-0.22223284004886942,-0.1931608240047967,-0.3556083336122446,-0.07130046983401872,-0.20458127844877552,0.6722011450403282,-0.46025665943973076
-77.415,39.18,61,30,1,0,0,POINT (-77.41500000000001 39.18),61.0,0.01639344262295082,0.0,0.0,0.0,0.0,-0.39816841670380937,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.22223284004886942,0.10176799869726368,-0.33885042138725385,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.4425896770230444
