long,lat,Total Observations,Total Citations,Total Accidents,Total Injuries,Total Fatalities,Total Stops,geometry,Observations per Accident,Accidents per Observation,Observations per Injury,Injuries per Observation,Observations per Fatality,Fatalities per Observation,Stops per Accident,Accidents per Stop,Stops per Injury,Injuries per Stop,Normalized Accidents per Stop,Normalized Stops per Accident,Normalized Total Injuries,Normalized Observations per Fatality,Normalized Stops per Injury,Normalized Injuries per Stop,Normalized Total Fatalities,Normalized Observations per Accident,Normalized Fatalities per Observation,Normalized Total Accidents,Normalized Total Stops,Normalized Observations per Injury,Normalized Injuries per Observation,Normalized Total Citations,Normalized Accidents per Observation,Normalized Total Observations
-77.455,39.425,80,33,0,0,0,67,POINT (-77.455 39.425),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.4493777985264608,-0.4416533222668173,-0.3549839154899024,-0.3354988389422557,-0.6495560850031369,-0.43060136752600725
-77.445,39.395,33,25,5,0,0,10,POINT (-77.44499999999999 39.395),6.6,0.15151515151515152,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,2.2532503114653157,-0.4697150704373304,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.4712365711238822,-0.07130046983401872,-0.18013865558497974,-0.518886101788797,-0.4416533222668173,-0.3549839154899024,-0.3444363921289174,1.6738753947330716,-0.46025665943973076
-77.435,39.205,35,28,5,4,0,17,POINT (-77.435 39.205),7.0,0.14285714285714285,8.75,0.11428571428571428,0.0,0.0,3.4,0.29411764705882354,4.25,0.23529411764705882,1.1264157296530177,-0.4475371552408488,-0.04925985364970576,-0.17065794835774026,-0.3889998011625636,2.488918172248418,-0.20458127844877552,-0.4670233022281385,-0.07130046983401872,-0.18013865558497974,-0.5103499943706153,-0.41128835505506006,3.518971169938396,-0.3410848096839193,1.5411078816052879,-0.4589947321242532
-77.43,39.215,429,54,0,0,0,384,POINT (-77.43000000000001 39.215),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.06281407687452113,-0.4416533222668173,-0.3549839154899024,-0.31203776182726867,-0.6495560850031369,-0.21039505097516703
-77.43,39.425,40,10,2,0,0,17,POINT (-77.43000000000001 39.425),20.0,0.05,0.0,0.0,0.0,0.0,8.5,0.11764705882352941,0.0,0.0,0.16055751667104792,-0.3667461784536657,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.3300920631164676,-0.07130046983401872,-0.211709293932897,-0.5103499943706153,-0.4416533222668173,-0.3549839154899024,-0.36119430435390815,0.11717630330981192,-0.45583991383555916
-77.425,39.22,95,74,4,0,0,76,POINT (-77.425 39.22),23.75,0.042105263157894736,0.0,0.0,0.0,0.0,19.0,0.05263157894736842,0.0,0.0,-0.19528498284862514,-0.2004118144800535,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.2905926672188702,-0.07130046983401872,-0.19066220170095216,-0.438402803274513,-0.4416533222668173,-0.3549839154899024,-0.2896938788606144,-0.003886705371180035,-0.4211369126599253
-77.42,39.14,30,4,0,0,0,20,POINT (-77.42 39.14),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.506691662619966,-0.4416533222668173,-0.3549839154899024,-0.36789746924390443,-0.6495560850031369,-0.46214955041294714
-77.42,39.145,229,74,2,2,0,143,POINT (-77.42 39.145),114.5,0.008733624454148471,114.5,0.008733624454148471,0.0,0.0,71.5,0.013986013986013986,71.5,0.013986013986013986,-0.40679975529038886,0.6312600053880075,-0.13875858639711885,-0.17065794835774026,-0.026961228417139733,-0.09786435009105353,-0.20458127844877552,0.6652927135029862,-0.07130046983401872,-0.211709293932897,-0.35670006084334593,-0.044306037038679746,-0.058939312891669975,-0.2896938788606144,-0.5156290302759843,-0.3365877825229265
-77.42,39.185,31,15,7,7,0,13,POINT (-77.42 39.185),4.428571428571429,0.22580645161290322,4.428571428571429,0.22580645161290322,0.0,0.0,1.8571428571428572,0.5384615384615384,1.8571428571428572,0.5384615384615384,2.4637578707049754,-0.4719781230083999,0.08498824547141388,-0.17065794835774026,-0.40188168346417985,6.032521739096356,-0.20458127844877552,-0.49410860227220527,-0.07130046983401872,-0.1590915633530349,-0.5152277700381477,-0.4262849306984177,7.299201535557945,-0.3556083336122446,2.8131063138295347,-0.46151858675520835
-77.42,39.225,412,95,2,0,1,376,POINT (-77.42 39.225),206.0,0.0048543689320388345,0.0,0.0,412.0,0.0024271844660194173,188.0,0.005319148936170213,0.0,0.0,-0.4542352110958442,2.476779377095229,-0.22825731914453196,0.44263386766015794,-0.41187956226543426,-0.26134131246938447,1.310222746535908,1.6290779734043621,0.8211177234970654,-0.211709293932897,-0.07256962820958586,-0.4416533222668173,-0.3549839154899024,-0.26623280174562736,-0.5751160473028506,-0.22112143315672658
-77.415,39.13,44,15,0,0,0,17,POINT (-77.41500000000001 39.13),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.5103499943706153,-0.4416533222668173,-0.3549839154899024,-0.3556083336122446,-0.6495560850031369,-0.453316059204604
-77.415,39.145,401,136,5,4,0,242,POINT (-77.41500000000001 39.145),80.2,0.012468827930174564,100.25,0.00997506234413965,0.0,0.0,48.4,0.02066115702479339,60.5,0.01652892561983471,-0.37026538550499327,0.26532440464606066,-0.04925985364970576,-0.17065794835774026,-0.08617943362456966,-0.06814126602226608,-0.20458127844877552,0.30400490569296224,-0.07130046983401872,-0.18013865558497974,-0.23597511307191998,-0.09375755506925582,-0.0168581599038913,-0.220427841663986,-0.45835100063581796,-0.22806203339185335
-77.415,39.15,141,39,0,0,0,81,POINT (-77.41500000000001 39.15),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.43230558369009753,-0.4416533222668173,-0.3549839154899024,-0.3287956740522594,-0.6495560850031369,-0.39211258440394064
-77.415,39.155,33,15,1,1,0,16,POINT (-77.41500000000001 39.155),33.0,0.030303030303030304,33.0,0.030303030303030304,0.0,0.0,16.0,0.0625,16.0,0.0625,-0.14127317488581762,-0.24793591847251412,-0.1835079527708254,-0.17065794835774026,-0.3257439910546271,0.4691963631587819,-0.20458127844877552,-0.1931608240047967,-0.07130046983401872,-0.22223284004886942,-0.5115694382874985,-0.3271340173539043,0.6722011450403282,-0.3556083336122446,-0.18486978905589518,-0.46025665943973076
-77.415,39.18,61,30,1,0,0,35,POINT (-77.41500000000001 39.18),61.0,0.01639344262295082,0.0,0.0,0.0,0.0,35.0,0.02857142857142857,0.0,0.0,-0.3269709146436606,0.053050073479736545,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,0.10176799869726368,-0.07130046983401872,-0.22223284004886942,-0.4884000038667197,-0.4416533222668173,-0.3549839154899024,-0.33885042138725385,-0.39816841670380937,-0.4425896770230444
-77.41,39.13,47,9,0,0,0,26,POINT (-77.41 39.13),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.4993749991186675,-0.4416533222668173,-0.3549839154899024,-0.36231149850224087,-0.6495560850031369,-0.45142316823138756
-77.41,39.135,63,33,6,2,0,27,POINT (-77.41 39.135),10.5,0.09523809523809523,31.5,0.031746031746031744,0.0,0.0,4.5,0.2222222222222222,13.5,0.07407407407407407,0.7329179391788817,-0.4301116504436132,-0.13875858639711885,-0.17065794835774026,-0.3392026740563157,0.6044811179047386,-0.20458127844877552,-0.43015719939038094,-0.07130046983401872,-0.16961510946900732,-0.49815555520178445,-0.33233944030449125,0.7211147193512916,-0.3354988389422557,0.8108865594024797,-0.44132774970756683
-77.41,39.14,119,49,11,1,0,56,POINT (-77.41 39.14),10.818181818181818,0.09243697478991597,119.0,0.008403361344537815,0.0,0.0,5.090909090909091,0.19642857142857142,56.0,0.017857142857142856,0.5917442188951415,-0.42075084208146185,-0.1835079527708254,-0.17065794835774026,-0.11040506302760918,-0.052616262289908365,-0.20458127844877552,-0.42680573549603934,-0.07130046983401872,-0.11699737888914521,-0.4627916816121748,-0.028689768186918884,-0.07013427685546868,-0.3176237325689323,0.7679323639787853,-0.4059937848741942
-77.41,39.145,411,179,33,31,0,245,POINT (-77.41 39.145),12.454545454545455,0.08029197080291971,13.258064516129032,0.07542579075425791,0.0,0.0,7.424242424242424,0.1346938775510204,7.903225806451613,0.12653061224489795,0.25385810595229946,-0.3837876500873258,1.1589730384403711,-0.17065794835774026,-0.3693327579375154,1.2176247573737602,-0.20458127844877552,-0.40956963546799685,-0.07130046983401872,0.11452063566224806,-0.2323167813212707,-0.3956441000584036,2.2017321840780437,-0.17238849328567923,0.5816930057183867,-0.22175239681446537
-77.41,39.175,31,5,0,0,0,18,POINT (-77.41 39.175),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.5091305504537322,-0.4416533222668173,-0.3549839154899024,-0.36678027509557176,-0.6495560850031369,-0.46151858675520835
