,Longitude,Latitude,BLACK Number of Speeding Charges,"BLACK Average Speed NOT in 9,14 MPH",BLACK Number of Citations for Each Stop,BLACK Racial Composition,BLACK Percent of Charges that were CHANGED,BLACK Percent of Charges that were NOT CHANGED,BLACK All Speeds Over Limit,HISPANIC Number of Speeding Charges,"HISPANIC Average Speed NOT in 9,14 MPH",HISPANIC Number of Citations for Each Stop,HISPANIC Racial Composition,HISPANIC Percent of Charges that were CHANGED,HISPANIC Percent of Charges that were NOT CHANGED,HISPANIC All Speeds Over Limit,OTHER Number of Speeding Charges,"OTHER Average Speed NOT in 9,14 MPH",OTHER Number of Citations for Each Stop,OTHER Racial Composition,OTHER Percent of Charges that were CHANGED,OTHER Percent of Charges that were NOT CHANGED,OTHER All Speeds Over Limit,ASIAN Number of Speeding Charges,"ASIAN Average Speed NOT in 9,14 MPH",ASIAN Number of Citations for Each Stop,ASIAN Racial Composition,ASIAN Percent of Charges that were CHANGED,ASIAN Percent of Charges that were NOT CHANGED,ASIAN All Speeds Over Limit,WHITE Number of Speeding Charges,"WHITE Average Speed NOT in 9,14 MPH",WHITE Number of Citations for Each Stop,WHITE Racial Composition,WHITE Percent of Charges that were CHANGED,WHITE Percent of Charges that were NOT CHANGED,WHITE All Speeds Over Limit,TOTAL Number of Speeding Charges,"TOTAL Average Speed NOT in 9,14 MPH",TOTAL Number of Citations for Each Stop,TOTAL Racial Composition,TOTAL Percent of Charges that were CHANGED,TOTAL Percent of Charges that were NOT CHANGED,TOTAL All Speeds Over Limit,NATIVE AMERICAN Number of Speeding Charges,"NATIVE AMERICAN Average Speed NOT in 9,14 MPH",NATIVE AMERICAN Number of Citations for Each Stop,NATIVE AMERICAN Racial Composition,NATIVE AMERICAN Percent of Charges that were CHANGED,NATIVE AMERICAN Percent of Charges that were NOT CHANGED,NATIVE AMERICAN All Speeds Over Limit
10,-77.6,39.0,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
11,-77.6,39.1,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
12,-77.6,39.2,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
13,-77.6,39.3,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
14,-77.6,39.4,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
15,-77.6,39.5,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
16,-77.5,38.8,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
17,-77.5,38.9,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
18,-77.5,39.0,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
19,-77.5,39.1,0,0.0,0.0,0.13333333333333333,0.0,0.0,[],0,0.0,0.0,0.3333333333333333,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],4,0.0,1.0,0.5333333333333333,1.0,0.0,"[9.0, 9.0]",4,0.0,1.0,30,1.0,0.0,"[9.0, 9.0]",0,0.0,0.0,0.0,0.0,0.0,[]
20,-77.5,39.2,2,0.0,1.0,0.13333333333333333,1.0,0.0,[9.0],0,0.0,0.0,0.06666666666666667,0.0,0.0,[],0,0.0,0.0,0.08333333333333333,0.0,0.0,[],0,0.0,0.0,0.03333333333333333,0.0,0.0,[],12,15.0,1.5,0.6833333333333333,1.0,0.0,"[9.0, 9.0, 9.0, 9.0, 9.0, 15.0]",14,15.0,1.4285714285714286,60,1.0,0.0,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 15.0]",0,0.0,0.0,0.0,0.0,0.0,[]
21,-77.5,39.3,0,0.0,0.0,0.2,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.8,0.0,0.0,[],0,0.0,0.0,5,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
22,-77.5,39.4,6,39.0,1.0,0.2459016393442623,1.0,0.0,"[9.0, 38.0, 40.0]",0,0.0,0.0,0.040983606557377046,0.0,0.0,[],0,0.0,0.0,0.02459016393442623,0.0,0.0,[],2,27.0,1.0,0.05737704918032787,0.0,0.0,[27.0],8,19.333333333333332,1.25,0.6311475409836066,1.0,0.0,"[15.0, 28.0, 15.0, 9.0]",16,27.166666666666668,1.125,122,1.0,0.0,"[9.0, 38.0, 15.0, 28.0, 15.0, 9.0, 27.0, 40.0]",0,0.0,0.0,0.0,0.0,0.0,[]
23,-77.5,39.5,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
24,-77.4,38.8,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
25,-77.4,38.9,0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[]
26,-77.4,39.0,2,25.0,1.0,0.14285714285714285,0.0,0.0,[25.0],0,0.0,0.0,0.14285714285714285,0.0,0.0,[],0,0.0,0.0,0.21428571428571427,0.0,0.0,[],0,0.0,0.0,0.0,0.0,0.0,[],0,0.0,0.0,0.5,0.0,0.0,[],2,25.0,1.0,14,0.0,0.0,[25.0],0,0.0,0.0,0.0,0.0,0.0,[]
