long,lat,Total Stops,Total Citations,Total Accidents,Total Injuries,Total Fatalities,geometry,Stops per Accident,Stops per Injury,Stops per Fatality
-77.44,39.4675,1,0,0,0,0,POINT (-77.44 39.4675),0.0,0.0,0.0
-77.4375,39.1525,2,4,0,0,0,POINT (-77.4375 39.1525),0.0,0.0,0.0
-77.4375,39.21,2,1,0,0,0,POINT (-77.4375 39.21),0.0,0.0,0.0
-77.435,39.15,3,0,0,0,0,POINT (-77.435 39.15),0.0,0.0,0.0
-77.435,39.205,15,33,0,0,0,POINT (-77.435 39.205),0.0,0.0,0.0
-77.435,39.2075,15,38,5,4,0,POINT (-77.435 39.2075),0.3333333333333333,0.26666666666666666,0.0
-77.435,39.235,1,1,0,0,0,POINT (-77.435 39.235),0.0,0.0,0.0
-77.435,39.4475,9,81,0,0,0,POINT (-77.435 39.4475),0.0,0.0,0.0
-77.4325,39.1475,11,42,0,0,0,POINT (-77.4325 39.1475),0.0,0.0,0.0
-77.4325,39.2025,11,46,0,0,0,POINT (-77.4325 39.2025),0.0,0.0,0.0
-77.4325,39.205,1,1,0,0,0,POINT (-77.4325 39.205),0.0,0.0,0.0
-77.4325,39.2075,4,1,0,0,0,POINT (-77.4325 39.2075),0.0,0.0,0.0
-77.4325,39.21,12,8,0,0,0,POINT (-77.4325 39.21),0.0,0.0,0.0
-77.4325,39.2325,3,3,0,0,0,POINT (-77.4325 39.2325),0.0,0.0,0.0
-77.4325,39.235,1,1,0,0,0,POINT (-77.4325 39.235),0.0,0.0,0.0
-77.43,39.1475,7,4,0,0,0,POINT (-77.43000000000001 39.1475),0.0,0.0,0.0
-77.43,39.1975,1,1,0,0,0,POINT (-77.43000000000001 39.1975),0.0,0.0,0.0
-77.43,39.2,5,3,1,1,0,POINT (-77.43000000000001 39.2),0.2,0.2,0.0
-77.43,39.2125,405,129,0,0,0,POINT (-77.43000000000001 39.2125),0.0,0.0,0.0
-77.43,39.215,19,11,0,0,0,POINT (-77.43000000000001 39.215),0.0,0.0,0.0
-77.43,39.23,3,1,0,0,0,POINT (-77.43000000000001 39.23),0.0,0.0,0.0
-77.43,39.3825,6,20,0,0,0,POINT (-77.43000000000001 39.3825),0.0,0.0,0.0
-77.43,39.4275,40,54,2,0,0,POINT (-77.43000000000001 39.4275),0.05,0.0,0.0
-77.4275,39.1375,2,2,0,0,0,POINT (-77.42749999999999 39.1375),0.0,0.0,0.0
-77.4275,39.1475,3,0,0,0,0,POINT (-77.42749999999999 39.1475),0.0,0.0,0.0
-77.4275,39.195,4,4,0,0,0,POINT (-77.42749999999999 39.195),0.0,0.0,0.0
-77.4275,39.1975,1,1,0,0,0,POINT (-77.42749999999999 39.1975),0.0,0.0,0.0
-77.4275,39.215,3,2,0,0,0,POINT (-77.42749999999999 39.215),0.0,0.0,0.0
-77.4275,39.2175,11,14,0,0,0,POINT (-77.42749999999999 39.2175),0.0,0.0,0.0
-77.4275,39.225,6,7,2,2,0,POINT (-77.42749999999999 39.225),0.3333333333333333,0.3333333333333333,0.0
-77.425,39.1225,5,13,0,2,0,POINT (-77.425 39.1225),0.0,0.4,0.0
-77.425,39.13,1,0,0,0,0,POINT (-77.425 39.13),0.0,0.0,0.0
-77.425,39.1475,3,0,0,0,0,POINT (-77.425 39.1475),0.0,0.0,0.0
-77.425,39.1925,1,1,0,0,0,POINT (-77.425 39.1925),0.0,0.0,0.0
-77.425,39.195,1,1,0,0,0,POINT (-77.425 39.195),0.0,0.0,0.0
-77.425,39.22,66,98,4,0,0,POINT (-77.425 39.22),0.06060606060606061,0.0,0.0
-77.425,39.2225,22,25,0,0,0,POINT (-77.425 39.2225),0.0,0.0,0.0
-77.425,39.225,5,11,0,0,0,POINT (-77.425 39.225),0.0,0.0,0.0
-77.4225,39.1275,3,0,0,0,0,POINT (-77.4225 39.1275),0.0,0.0,0.0
