long,lat,Total Observations,Total Citations,Total Accidents,Total Injuries,Total Fatalities,Total Stops,geometry,Observations per Accident,Accidents per Observation,Observations per Injury,Injuries per Observation,Observations per Fatality,Fatalities per Observation,Stops per Accident,Accidents per Stop,Stops per Injury,Injuries per Stop,Normalized Injuries per Observation,Normalized Stops per Injury,Normalized Observations per Accident,Normalized Injuries per Stop,Normalized Accidents per Stop,Normalized Total Observations,Normalized Total Stops,Normalized Fatalities per Observation,Normalized Total Citations,Normalized Total Fatalities,Normalized Stops per Accident,Normalized Total Accidents,Normalized Total Injuries,Normalized Observations per Injury,Normalized Accidents per Observation,Normalized Observations per Fatality
-77.455,39.425,80,33,0,0,0,67,POINT (-77.455 39.425),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36309316462651064,-0.4355947267042299,-0.5473551676254187,-0.2679681257298232,-0.483285517232764,-0.42548383204337037,-0.43867781092035457,-0.10975808750971708,-0.30458648401524596,-0.1692805999382183,-0.5064678186789032,-0.2281899265644522,-0.2360105571849193,-0.45910186736696534,-0.6418722665466945,-0.16108655164165825
-77.445,39.395,33,25,5,0,0,10,POINT (-77.44499999999999 39.395),6.6,0.15151515151515152,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,-0.36309316462651064,-0.4355947267042299,-0.4729050744412908,-0.2679681257298232,2.2710346664494026,-0.46626898316257037,-0.5380687813904572,-0.10975808750971708,-0.31695068779280317,-0.1692805999382183,-0.47196230457541766,-0.16261143800447483,-0.2360105571849193,-0.45910186736696534,1.7201570251061367,-0.16108655164165825
-77.43,39.215,306,22,0,0,0,286,POINT (-77.43000000000001 39.215),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36309316462651064,-0.4355947267042299,-0.5473551676254187,-0.2679681257298232,-0.483285517232764,-0.22936799900211077,-0.05680724016680235,-0.10975808750971708,-0.32158726420938716,-0.1692805999382183,-0.5064678186789032,-0.2281899265644522,-0.2360105571849193,-0.45910186736696534,-0.6418722665466945,-0.16108655164165825
-77.43,39.425,40,10,2,0,0,17,POINT (-77.43000000000001 39.425),20.0,0.05,0.0,0.0,0.0,0.0,8.5,0.11764705882352941,0.0,0.0,-0.36309316462651064,-0.4355947267042299,-0.321748824643213,-0.2679681257298232,0.16478982010421644,-0.4601945989533278,-0.5258628727362341,-0.10975808750971708,-0.34013356987572296,-0.1692805999382183,-0.3598193837390898,-0.20195853114046125,-0.2360105571849193,-0.45910186736696534,0.13759739969873983,-0.16108655164165825
-77.425,39.22,65,48,0,0,0,49,POINT (-77.425 39.22),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36309316462651064,-0.4355947267042299,-0.5473551676254187,-0.2679681257298232,-0.483285517232764,-0.43850036963460437,-0.4700644331740712,-0.10975808750971708,-0.2814036019323262,-0.1692805999382183,-0.5064678186789032,-0.2281899265644522,-0.2360105571849193,-0.45910186736696534,-0.6418722665466945,-0.16108655164165825
-77.42,39.145,150,49,2,2,0,93,POINT (-77.42 39.145),75.0,0.013333333333333334,75.0,0.013333333333333334,0.0,0.0,46.5,0.021505376344086023,46.5,0.021505376344086023,0.11866390179609734,-0.09261832565067424,0.29866861855785254,0.0016707528747707074,-0.36482013298836974,-0.3647399899509448,-0.3933415787760972,-0.10975808750971708,-0.27985807646013156,-0.1692805999382183,0.29578538422713496,-0.20195853114046125,-0.11569275445255385,-0.11541615142441267,-0.4340136888812453,-0.16108655164165825
-77.42,39.225,285,53,2,0,0,269,POINT (-77.42 39.225),142.5,0.007017543859649123,0.0,0.0,0.0,0.0,134.5,0.007434944237918215,0.0,0.0,-0.36309316462651064,-0.4355947267042299,1.0600900261227968,-0.2679681257298232,-0.44232908327466486,-0.24759115162983844,-0.08645016118420139,-0.10975808750971708,-0.27367597457135295,-0.1692805999382183,1.8140280047804975,-0.20195853114046125,-0.2360105571849193,-0.45910186736696534,-0.5324730151438265,-0.16108655164165825
-77.415,39.13,44,15,0,0,0,17,POINT (-77.41500000000001 39.13),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36309316462651064,-0.4355947267042299,-0.5473551676254187,-0.2679681257298232,-0.483285517232764,-0.45672352226233204,-0.5258628727362341,-0.10975808750971708,-0.3324059425147497,-0.1692805999382183,-0.5064678186789032,-0.2281899265644522,-0.2360105571849193,-0.45910186736696534,-0.6418722665466945,-0.16108655164165825
-77.415,39.145,312,109,4,3,0,187,POINT (-77.41500000000001 39.145),78.0,0.01282051282051282,104.0,0.009615384615384616,0.0,0.0,46.75,0.0213903743315508,62.333333333333336,0.016042780748663103,-0.01567220326405296,0.024165753561109962,0.3325095700051834,-0.06682040612906998,-0.36545363771694933,-0.22416138396561716,-0.22943366256224376,-0.10975808750971708,-0.18712654812845253,-0.1692805999382183,0.3000985734900707,-0.1757271357164703,-0.05553385308637111,0.01747565874004103,-0.44200824956068574,-0.16108655164165825
-77.415,39.15,85,14,0,0,0,53,POINT (-77.41500000000001 39.15),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36309316462651064,-0.4355947267042299,-0.5473551676254187,-0.2679681257298232,-0.483285517232764,-0.42114498617962565,-0.46308962822880084,-0.10975808750971708,-0.33395146798694436,-0.1692805999382183,-0.5064678186789032,-0.2281899265644522,-0.2360105571849193,-0.45910186736696534,-0.6418722665466945,-0.16108655164165825
