long,lat,Total_Observations,Total_Citations,Total_Accidents,Total_Injuries,Total_Fatalities,Total_Stops,Total_ASIAN_Stops,Total_BLACK_Stops,Total_HISPANIC_Stops,Total_OTHER_Stops,Total_WHITE_Stops,Total_Speeds_Altered,Total_Speeds_Not_Altered,geometry,Observations_per_Accident,Accidents_per_Observation,Observations per Injury,Injuries_per_Observation,Observations per Fatality,Fatalities_per_Observation,Stops_per_Accident,Accidents_per_Stop,Stops_per_Injury,Injuries_per_Stop,Citations_per_Stop,pct_Stops_ASIAN,pct_Stops_BLACK,pct_Stops_HISPANIC,pct_Stops_OTHER,pct_Stops_WHITE,pct_Altered,Normalized pct_Stops_WHITE,Normalized Total_Citations,Normalized Fatalities_per_Observation,Normalized Observations per Injury,Normalized Total_Speeds_Altered,Normalized Total_WHITE_Stops,Normalized Total_BLACK_Stops,Normalized Stops_per_Injury,Normalized Observations_per_Accident,Normalized Total_HISPANIC_Stops,Normalized pct_Altered,Normalized Total_Accidents,Normalized pct_Stops_HISPANIC,Normalized Injuries_per_Observation,Normalized Total_Injuries,Normalized Observations per Fatality,Normalized Total_Speeds_Not_Altered,Normalized Accidents_per_Stop,Normalized Total_Observations,Normalized pct_Stops_BLACK,Normalized Total_ASIAN_Stops,Normalized pct_Stops_ASIAN,Normalized pct_Stops_OTHER,Normalized Injuries_per_Stop,Normalized Stops_per_Accident,Normalized Total_Stops,Normalized Total_Fatalities,Normalized Accidents_per_Observation,Normalized Citations_per_Stop,Normalized Total_OTHER_Stops,Distance_to_District_1_Station,Distance_to_District_2_Station,Distance_to_District_3_Station,Distance_to_District_4_Station,Distance_to_District_5_Station,Distance_to_District_6_Station,Distance_to_Closest_Station
-77.46,39.42,78,33,0,0,0,65,3,9,2,0,51,1,0,POINT (-77.45999999999999 39.42),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076923076923077,0.046153846153846156,0.13846153846153847,0.03076923076923077,0.0,0.7846153846153846,1.0,1.6068386978811726,-0.40801620081083584,-0.1360602096247935,-0.45514071097214037,-0.38814849361212295,-0.5257979869644592,-0.41701177113691074,-0.46435168710729674,-0.4876084834499602,-0.3898597503762089,0.7507318739285387,-0.2916483574320738,-1.3371000088837357,-0.4134874855870495,-0.3008112886753796,-0.2571558563272514,-0.49973586129048114,-0.5811650249362295,-0.4782235136263815,-0.7102828041113243,-0.5690478423240365,-0.5426274301245028,-1.486324608458084,-0.31301094043928346,-0.4170454281623654,-0.5088396333668678,-0.2865236880259929,-0.7710857969801551,-0.43573964826623235,-0.5612400561180406,0.5475563786114666,0.5611644110291155,0.5995717079803934,0.54693144684002,0.3072242872825283,0.351094618933838,0.3072242872825283
-77.45,39.39,33,25,5,0,0,10,1,0,1,0,8,1,0,POINT (-77.45 39.39),6.6,0.15151515151515152,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,2.5,0.1,0.0,0.1,0.0,0.8,1.0,1.6891603552951036,-0.4120413933127269,-0.1360602096247935,-0.45514071097214037,-0.38814849361212295,-0.5861204163248867,-0.42876108369676064,-0.46435168710729674,-0.4282504996601801,-0.39178866428880144,0.7507318739285387,-0.26586696707504703,-0.5254528725555487,-0.4134874855870495,-0.3008112886753796,-0.2571558563272514,-0.49973586129048114,2.7763349263354717,-0.48985072821767034,-1.714631451926932,-0.5853935173774354,0.6177372262602006,-1.486324608458084,-0.31301094043928346,-0.39342227149392833,-0.5358329901265199,-0.2865236880259929,1.822047161482947,2.5726840743411836,-0.5612400561180406,0.5204867372106043,0.5319237963198717,0.5733116639490595,0.5198763738267894,0.278044202825356,0.32184099777453257,0.278044202825356
-77.43,39.21,452,71,5,4,0,397,8,34,13,5,337,22,1,POINT (-77.43000000000001 39.21),90.4,0.011061946902654867,113.0,0.008849557522123894,0.0,0.0,79.4,0.012594458438287154,99.25,0.010075566750629723,0.17884130982367757,0.020151133501259445,0.08564231738035265,0.0327455919395466,0.012594458438287154,0.8488664987405542,0.9565217391304348,1.9506404812370852,-0.38889653642685335,-0.1360602096247935,-0.17646459535404938,-0.24614480030120206,-0.1245836893578957,-0.3843747918039944,-0.04133572026325512,0.32541602179187656,-0.36864169733769103,0.62633724547581,-0.26586696707504703,-1.3139295616669782,-0.11475978342947848,-0.20859933221576268,-0.2571558563272514,-0.3826924621987632,-0.4965932377505443,-0.3815884412454477,-1.0934138444059431,-0.5281836546905394,-1.1029762494365833,-1.1797689186963156,-0.1826122806824676,0.5207938915745878,-0.34589791619951393,-0.2865236880259929,-0.5817641429330702,-0.9323111100996069,-0.5202471061654071,0.41029765779391103,0.39766846517143817,0.4683958794198544,0.4098658989433753,0.16916689254785397,0.20353937284615714,0.16916689254785397
-77.43,39.22,33,22,2,2,0,25,0,6,1,0,18,2,1,POINT (-77.43000000000001 39.22),16.5,0.06060606060606061,16.5,0.06060606060606061,0.0,0.0,12.5,0.08,12.5,0.08,0.88,0.0,0.24,0.04,0.0,0.72,0.6666666666666666,1.2610877367426632,-0.41355084050093605,-0.1360602096247935,-0.41444906577126867,-0.3813864129782696,-0.5720919443806012,-0.4209282086568607,-0.41107511697580534,-0.3392135239755099,-0.39178866428880144,-0.20296027754238108,-0.2813358012892631,-1.228880390706644,1.63234465646177,-0.25470531044557115,-0.2571558563272514,-0.3826924621987632,-0.043965032732757314,-0.48985072821767034,0.02623953762012114,-0.5935663549041348,-1.537225707025677,-1.486324608458084,0.7223544180298345,-0.2694006989846335,-0.5284711655557056,-0.2865236880259929,0.2661673864050857,0.12645227518627317,-0.5612400561180406,0.4140923008242505,0.40325344315254424,0.47198411206235996,0.4136460769172214,0.17096393958451947,0.20670451130813003,0.17096393958451947
-77.43,39.43,40,10,2,0,0,17,0,3,6,2,6,0,0,POINT (-77.43000000000001 39.43),20.0,0.05,0.0,0.0,0.0,0.0,8.5,0.11764705882352941,0.0,0.0,0.5882352941176471,0.0,0.17647058823529413,0.35294117647058826,0.11764705882352941,0.35294117647058826,0.0,-0.7030101601450021,-0.4195886292537726,-0.1360602096247935,-0.45514071097214037,-0.3949105742459763,-0.5889261107137437,-0.42484464617681067,-0.46435168710729674,-0.3077358052991114,-0.38214409472583877,-2.1103445804842202,-0.2813358012892631,2.43997686082652,-0.4134874855870495,-0.3008112886753796,-0.2571558563272514,-0.49973586129048114,0.2088349635982884,-0.48804205039235876,-0.4345792537305692,-0.5935663549041348,-1.537225707025677,1.3772661876694925,-0.31301094043928346,-0.3166470123215077,-0.5323974719934732,-0.2865236880259929,0.08464807931266856,-0.31411815777699315,-0.5448428761369872,0.5323213422621084,0.5502264034817609,0.5829488381127594,0.5316733352617027,0.2970934563760447,0.3408735947857827,0.2970934563760447
-77.42,39.14,138,56,9,3,0,79,8,9,4,1,57,2,4,POINT (-77.42 39.14),15.333333333333334,0.06521739130434782,46.0,0.021739130434782608,0.0,0.0,8.777777777777779,0.11392405063291139,26.333333333333332,0.0379746835443038,0.7088607594936709,0.10126582278481013,0.11392405063291139,0.05063291139240506,0.012658227848101266,0.7215189873417721,0.3333333333333333,1.2692156978544185,-0.39644377236789907,-0.1360602096247935,-0.34169733647274053,-0.3813864129782696,-0.5173809037978879,-0.41701177113691074,-0.3521157126969549,-0.34970609686764276,-0.38600192255102383,-1.1566524290133007,-0.2452418547894256,-1.1042223495153107,0.3203436088435054,-0.2316523213306669,-0.2571558563272514,-0.031562264923609314,0.1838349639611201,-0.4627205608379964,-0.8882686404330776,-0.5281836546905394,0.6450152380739458,-1.178216737988661,0.17845995756820926,-0.31336601833978034,-0.5019685971007746,-0.2865236880259929,0.34508882427135396,-0.1319713372889135,-0.5530414661275139,0.38015728508366625,0.3548029202066768,0.43897325902589407,0.3798360229204637,0.1633839929337446,0.18479328428464775,0.1633839929337446
-77.42,39.15,578,178,4,4,0,344,9,36,29,10,258,3,0,POINT (-77.42 39.15),144.5,0.006920415224913495,144.5,0.006920415224913495,0.0,0.0,86.0,0.011627906976744186,86.0,0.011627906976744186,0.5174418604651163,0.02616279069767442,0.10465116279069768,0.08430232558139535,0.029069767441860465,0.75,1.0,1.4216149686998283,-0.3350595867140605,-0.1360602096247935,-0.09878054542511251,-0.37462433234441617,-0.23540861771775065,-0.3817638334573611,-0.09780888460263598,0.8119716161899226,-0.3377790747362105,0.7507318739285387,-0.2710232451464524,-0.7094891418392656,-0.17988035518009085,-0.20859933221576268,-0.2571558563272514,-0.49973586129048114,-0.5030836307206085,-0.349032240389839,-0.9555307297407167,-0.52001081716384,-0.9734272651776276,-0.7787513012753979,-0.1625217894990047,0.5987503085804302,-0.37190969634972404,-0.2865236880259929,-0.6526451220607331,-0.4210176322042673,-0.4792541562127736,0.38242362245674166,0.3591075652360455,0.4412163010606142,0.3820843181031931,0.16095204332637789,0.18451839098917158,0.16095204332637789
-77.42,39.17,37,14,0,0,0,26,1,2,2,0,20,9,0,POINT (-77.42 39.17),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.0,0.7692307692307693,1.0,1.5245170404672421,-0.4175760330028271,-0.1360602096247935,-0.45514071097214037,-0.33405184854129594,-0.569286249991744,-0.4261501253501273,-0.46435168710729674,-0.4876084834499602,-0.3898597503762089,0.7507318739285387,-0.2916483574320738,-0.7960019179982777,-0.4134874855870495,-0.3008112886753796,-0.2571558563272514,-0.49973586129048114,-0.5811650249362295,-0.488817198031778,-1.156659980918261,-0.5853935173774354,-0.7083938096080318,-1.486324608458084,-0.31301094043928346,-0.4170454281623654,-0.5279803772509847,-0.2865236880259929,-0.7710857969801551,-0.389277505832141,-0.5612400561180406,0.3876910602972977,0.36838092493357094,0.4463411572835333,0.3873170146082889,0.15788610597155286,0.18559093190747541,0.15788610597155286
-77.42,39.19,45,26,9,7,0,24,0,4,2,1,17,4,0,POINT (-77.42 39.19),5.0,0.2,6.428571428571429,0.15555555555555556,0.0,0.0,2.6666666666666665,0.375,3.4285714285714284,0.2916666666666667,1.0833333333333333,0.0,0.16666666666666666,0.08333333333333333,0.041666666666666664,0.7083333333333334,1.0,1.1986604798704328,-0.4115382442499905,-0.1360602096247935,-0.43928682323154106,-0.3678622517105628,-0.5734947915750297,-0.42353916700349403,-0.44973868501408765,-0.442640313912248,-0.3898597503762089,0.7507318739285387,-0.2452418547894256,-0.7208494053752975,4.837481679004921,-0.13944036487104997,-0.2571558563272514,-0.49973586129048114,1.9369599385175464,-0.4867501376599933,-0.5056932647414784,-0.5935663549041348,-1.537225707025677,-0.4721362014962339,3.461758595646043,-0.3855478859377826,-0.5289619538604265,-0.2865236880259929,2.65184970819114,0.4334895997715601,-0.5530414661275139,0.3939046705180681,0.3784848323249734,0.4522930831317181,0.39349779347509845,0.1573228675901402,0.1887881124417987,0.1573228675901402
-77.42,39.22,506,170,6,0,1,451,5,40,26,8,366,66,0,POINT (-77.42 39.22),84.33333333333333,0.011857707509881422,0.0,0.0,506.0,0.001976284584980237,75.16666666666667,0.013303769401330377,0.0,0.0,0.376940133037694,0.011086474501108648,0.08869179600886919,0.057649667405764965,0.017738359201773836,0.811529933481153,1.0,1.750855965507761,-0.33908477921595154,1.5396620256226128,-0.45514071097214037,0.051386747588346444,-0.08390112071946793,-0.3765419167640945,-0.46435168710729674,0.27085464275278565,-0.3435658164739881,0.7507318739285387,-0.26071068900364164,-1.021959361716152,-0.4134874855870495,-0.3008112886753796,-0.005021411543598902,-0.49973586129048114,-0.4918302147028361,-0.3676357837359011,-1.0712940574158258,-0.5527021672706377,-1.2983162909185952,-1.054563690194946,-0.31301094043928346,0.4707915432930626,-0.3193953477445829,0.5541557043140083,-0.568144956752608,-0.6331779985432525,-0.49565133619382706,0.4049020699974337,0.39505716291163595,0.46270070195990015,0.4044497236577293,0.16119608549425524,0.19732305361745162,0.16119608549425524
