,Stop ID,First Unique,Year,Number of writeups,Number of Citations,Speed Limit,Driving Speed,Speed Over Posted Limit,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,Car Age,Speed Altered,Speed NOT Altered,ASIAN - (D_Race),BLACK - (D_Race),HISPANIC - (D_Race),NATIVE AMERICAN - (D_Race),OTHER - (D_Race),WHITE - (D_Race),"1st District, Rockville - (D_SubAgency)","2nd District, Bethesda - (D_SubAgency)","3rd District, Silver Spring - (D_SubAgency)","4th District, Wheaton - (D_SubAgency)","5th District, Germantown - (D_SubAgency)","6th District, Gaithersburg / Montgomery Village - (D_SubAgency)",Headquarters and Special Operations - (D_SubAgency),S15 - (D_SubAgency),W15 - (D_SubAgency),Citation - (D_Violation Type),ESERO - (D_Violation Type),SERO - (D_Violation Type),Warning - (D_Violation Type),No - (D_Search Conducted),Yes - (D_Search Conducted),Arrest - (D_Search Outcome),Citation - (D_Search Outcome),Recovered Evidence - (D_Search Outcome),SERO - (D_Search Outcome),Warning - (D_Search Outcome),Male
count,119428.0,119428.0,119428.0,119428.0,119428.0,12596.0,6653.0,6653.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,118786.0,2795.0,2795.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119428.0,119313.0
mean,494174.7302,0.5082,2015.1597,3.7562,2.8204,38.8639,55.0747,15.9886,0.0,0.0,0.0488,0.0273,0.0169,0.0376,0.0011,0.0001,0.0049,0.2287,0.0002,10.7316,0.8805,0.1195,0.0545,0.3106,0.2156,0.001,0.0442,0.3742,0.118,0.1835,0.1607,0.1999,0.1685,0.1318,0.0376,0.0,0.0,0.5505,0.0427,0.0007,0.4061,0.5182,0.0885,0.0713,0.2908,0.0,0.0162,0.2181,0.689
std,274646.9712,0.4999,2.2957,3.7162,4.0508,9.1507,14.0238,8.2688,0.0,0.0,0.2155,0.163,0.129,0.1901,0.0325,0.0112,0.0695,0.42,0.0142,82.6819,0.3244,0.3244,0.227,0.4627,0.4112,0.0312,0.2056,0.4839,0.3226,0.3871,0.3673,0.3999,0.3743,0.3383,0.1901,0.0,0.0041,0.4974,0.2021,0.0265,0.4911,0.4997,0.2841,0.2573,0.4541,0.0,0.1262,0.413,0.4629
min,1.0,0.0,2012.0,1.0,0.0,5.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,264548.0,0.0,2013.0,1.0,0.0,30.0,44.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,503109.0,1.0,2015.0,3.0,1.0,40.0,53.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75%,737646.25,1.0,2017.0,5.0,5.0,45.0,64.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
max,948647.0,1.0,2020.0,43.0,43.0,102.0,130.0,75.0,0.0,0.0167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
