H3 Encoding - Res=7,Citation,Arrest,Search Conducted,Fatal,Alcohol,Accident,Personal Injury,Property Damage,Stops - ASIAN,Stops - BLACK,Stops - HISPANIC,Stops - OTHER,Stops - WHITE,Search Conducted - ASIAN,Search Conducted - BLACK,Search Conducted - HISPANIC,Search Conducted - OTHER,Search Conducted - WHITE,Citation - ASIAN,Citation - BLACK,Citation - HISPANIC,Citation - OTHER,Citation - WHITE,Arrest - ASIAN,Arrest - BLACK,Arrest - HISPANIC,Arrest - OTHER,Arrest - WHITE,Stops,Longitude,Latitude,geometry,Stops - % Total - ASIAN,Stops - % Total - BLACK,Stops - % Total - HISPANIC,Stops - % Total - OTHER,Stops - % Total - WHITE,Arrest - % Total - ASIAN,Arrest - % Total - BLACK,Arrest - % Total - HISPANIC,Arrest - % Total - OTHER,Arrest - % Total - WHITE,Citation - % Total - ASIAN,Citation - % Total - BLACK,Citation - % Total - HISPANIC,Citation - % Total - OTHER,Citation - % Total - WHITE,Search Conducted - % Total - ASIAN,Search Conducted - % Total - BLACK,Search Conducted - % Total - HISPANIC,Search Conducted - % Total - OTHER,Search Conducted - % Total - WHITE,Citation per Fatal,Citation per Alcohol,Citation per Accident,Citation per Personal Injury,Citation per Property Damage,Arrest per Fatal,Arrest per Alcohol,Arrest per Accident,Arrest per Personal Injury,Arrest per Property Damage,Search Conducted per Fatal,Search Conducted per Alcohol,Search Conducted per Accident,Search Conducted per Personal Injury,Search Conducted per Property Damage,Stops per Fatal,Stops per Alcohol,Stops per Accident,Stops per Personal Injury,Stops per Property Damage,BLACK + HISPANIC Stops - % Total,BLACK + HISPANIC Arrest - % Total,BLACK + HISPANIC Citation - % Total,BLACK + HISPANIC Search Conducted - % Total
87f042801ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-76.9785331547106,39.3232667272771,"((39.3804633428836, -76.97844201012126), (39.34961356693327, -76.96707774332697), (39.292463898836786, -76.96716146215644), (39.26606263232967, -76.97861177346802), (39.296871238012294, -76.98998722847325), (39.354122398474395, -76.98990118177446), (39.3804633428836, -76.97844201012126))",0.0,0.3333333333333333,0.0,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,
87f042803ffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-76.9669815128855,39.40675571727597,"((39.46389023769812, -76.96687277555064), (39.432999644822246, -76.95551969891477), (39.37591188024501, -76.95562100319934), (39.34961356693327, -76.96707774332697), (39.3804633428836, -76.97844201012126), (39.43765236664091, -76.97833834440738), (39.46389023769812, -76.96687277555064))",0.0,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
87f042808ffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-76.94440712348309,39.23101629902844,"((39.28807220383843, -76.94433822108599), (39.257380381920896, -76.93296298706332), (39.20037129276521, -76.9330244987457), (39.173953135406855, -76.94446352866447), (39.20460369881712, -76.95584991286552), (39.26171379528324, -76.9557861148456), (39.28807220383843, -76.94433822108599))",0.0,0.0,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0,,,,,0.0,,,,,0.0,,,,,1.0,,,1.0,,1.0,
87f042809ffffff,4721.0,31.0,65.0,0.0,0.0,127.0,53.0,80.0,644,3429,1013,610,2880,1,42,7,1,14,347,1816,578,356,1607,0,21,5,0,5,8588,-76.93307352274697,39.14335501764471,"((39.20037129276521, -76.9330244987457), (39.16977865946683, -76.92163825128173), (39.11280922844517, -76.92167990574029), (39.08633166814473, -76.93311005451103), (39.11688282481138, -76.94450743204612), (39.173953135406855, -76.94446352866447), (39.20037129276521, -76.9330244987457))",0.07498835584536563,0.39927806241266883,0.11795528644620401,0.07102934326967862,0.3353516534699581,0.0,0.6774193548387096,0.16129032258064516,0.0,0.16129032258064516,0.07350137682694344,0.3846642660453294,0.12243168820165219,0.07540775259478924,0.3403939843253548,0.015384615384615385,0.6461538461538462,0.1076923076923077,0.015384615384615385,0.2153846153846154,,,37.173228346456696,89.0754716981132,59.0125,,,0.2440944881889764,0.5849056603773585,0.3875,,,0.5118110236220472,1.2264150943396226,0.8125,,,67.62204724409449,162.03773584905662,107.35,0.5172333488588728,0.8387096774193548,0.5070959542469816,0.7538461538461538
87f04280affffff,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,-76.9328889922954,39.31438217361222,"((39.37137655642502, -76.93280251907646), (39.34064382694082, -76.92143843732562), (39.283696069920744, -76.92151751248711), (39.257380381920896, -76.93296298706332), (39.28807220383843, -76.94433822108599), (39.34512073808522, -76.94425682609634), (39.37137655642502, -76.93280251907646))",0.0,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,2.0,,,,,0.0,,,,,0.0,,,,,2.0,,,0.0,,0.0,
87f04280dffffff,131.0,0.0,0.0,0.0,0.0,20.0,7.0,15.0,12,88,55,23,66,0,0,0,0,0,8,40,31,12,40,0,0,0,0,0,244,-76.95590119952121,39.14748638245245,"((39.20460369881712, -76.95584991286552), (39.173953135406855, -76.94446352866447), (39.11688282481138, -76.94450743204612), (39.090361958365484, -76.95593997024012), (39.1209709110186, -76.96733750237777), (39.17814245849236, -76.96729134630189), (39.20460369881712, -76.95584991286552))",0.04918032786885246,0.36065573770491804,0.22540983606557377,0.0942622950819672,0.27049180327868855,,,,,,0.061068702290076333,0.3053435114503817,0.2366412213740458,0.0916030534351145,0.3053435114503817,,,,,,,,6.55,18.714285714285715,8.733333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,12.2,34.857142857142854,16.266666666666666,0.5860655737704918,,0.5419847328244275,
87f04280effffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-76.9557098100731,39.318816559760364,"((39.37591188024501, -76.95562100319934), (39.34512073808522, -76.94425682609634), (39.28807220383843, -76.94433822108599), (39.26171379528324, -76.9557861148456), (39.292463898836786, -76.96716146215644), (39.34961356693327, -76.96707774332697), (39.37591188024501, -76.95562100319934))",0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
87f042821ffffff,13.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3,2,3,1,11,0,0,0,0,0,2,1,1,0,9,0,0,0,0,0,20,-77.03572443463166,39.248270444158685,"((39.30573318424726, -77.03564630790589), (39.274806907829074, -77.02427065434397), (39.217391634322915, -77.02434133484654), (39.190800306504514, -77.03578996879526), (39.22168478899299, -77.04717684467816), (39.27920251293485, -77.04710386213361), (39.30573318424726, -77.03564630790589))",0.15,0.1,0.15,0.05,0.55,,,,,,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.0,0.6923076923076923,,,,,,,,13.0,,13.0,,,0.0,,0.0,,,0.0,,0.0,,,20.0,,20.0,0.25,,0.15384615384615385,
87f042825ffffff,2566.0,0.0,2.0,0.0,0.0,17.0,8.0,13.0,172,420,366,138,2884,0,0,0,1,1,106,288,248,76,1843,0,0,0,0,0,3981,-77.05856004930071,39.25262260511085,"((39.31018796048217, -77.05847960653215), (39.27920251293485, -77.04710386213361), (39.22168478899299, -77.04717684467816), (39.195049816903044, -77.05862787546684), (39.22599333505863, -77.07001486039192), (39.28361387504095, -77.06993957183543), (39.31018796048217, -77.05847960653215))",0.043205224817884955,0.10550113036925396,0.09193669932177845,0.0346646571213263,0.7244410952022104,,,,,,0.041309431021044424,0.1122369446609509,0.09664848012470771,0.029618082618862042,0.7182385035074045,0.0,0.0,0.0,0.5,0.5,,,150.94117647058823,320.75,197.3846153846154,,,0.0,0.0,0.0,,,0.11764705882352941,0.25,0.15384615384615385,,,234.1764705882353,497.625,306.2307692307692,0.1974378296910324,,0.2088854247856586,0.0
87f042828ffffff,1529.0,13.0,29.0,1.0,1.0,63.0,25.0,38.0,335,969,558,381,2105,1,9,7,2,10,117,320,235,142,704,0,5,6,0,2,4357,-77.00156416156301,39.155793313591005,"((39.21311378876948, -77.00150833812292), (39.182346708028064, -76.990121697003), (39.12507356447361, -76.99017010956088), (39.09846566333738, -77.00160742142545), (39.12919086313524, -77.01300524641361), (39.18656596388513, -77.0129545735695), (39.21311378876948, -77.00150833812292))",0.07688776681202662,0.22240073445030983,0.1280697727794354,0.0874454900160661,0.48313059444571954,0.0,0.38461538461538464,0.46153846153846156,0.0,0.15384615384615385,0.07652060170045781,0.2092871157619359,0.15369522563767168,0.09287115761935906,0.460431654676259,0.034482758620689655,0.3103448275862069,0.2413793103448276,0.06896551724137931,0.3448275862068966,1529.0,1529.0,24.26984126984127,61.16,40.23684210526316,13.0,13.0,0.20634920634920634,0.52,0.34210526315789475,29.0,29.0,0.4603174603174603,1.16,0.7631578947368421,4357.0,4357.0,69.15873015873017,174.28,114.65789473684211,0.35047050722974527,0.8461538461538463,0.3629823413996076,0.5517241379310345
