H3 Encoding - Res=6,Citation,Arrest,Search Conducted,Fatal,Alcohol,Accident,Personal Injury,Property Damage,Stops - ASIAN,Stops - BLACK,Stops - HISPANIC,Stops - OTHER,Stops - WHITE,Search Conducted - ASIAN,Search Conducted - BLACK,Search Conducted - HISPANIC,Search Conducted - OTHER,Search Conducted - WHITE,Citation - ASIAN,Citation - BLACK,Citation - HISPANIC,Citation - OTHER,Citation - WHITE,Arrest - ASIAN,Arrest - BLACK,Arrest - HISPANIC,Arrest - OTHER,Arrest - WHITE,Stops,Longitude,Latitude,geometry,Stops - % Total - ASIAN,Stops - % Total - BLACK,Stops - % Total - HISPANIC,Stops - % Total - OTHER,Stops - % Total - WHITE,Arrest - % Total - ASIAN,Arrest - % Total - BLACK,Arrest - % Total - HISPANIC,Arrest - % Total - OTHER,Arrest - % Total - WHITE,Citation - % Total - ASIAN,Citation - % Total - BLACK,Citation - % Total - HISPANIC,Citation - % Total - OTHER,Citation - % Total - WHITE,Search Conducted - % Total - ASIAN,Search Conducted - % Total - BLACK,Search Conducted - % Total - HISPANIC,Search Conducted - % Total - OTHER,Search Conducted - % Total - WHITE,Citation per Fatal,Citation per Alcohol,Citation per Accident,Citation per Personal Injury,Citation per Property Damage,Arrest per Fatal,Arrest per Alcohol,Arrest per Accident,Arrest per Personal Injury,Arrest per Property Damage,Search Conducted per Fatal,Search Conducted per Alcohol,Search Conducted per Accident,Search Conducted per Personal Injury,Search Conducted per Property Damage,Stops per Fatal,Stops per Alcohol,Stops per Accident,Stops per Personal Injury,Stops per Property Damage,BLACK + HISPANIC Stops - % Total,BLACK + HISPANIC Arrest - % Total,BLACK + HISPANIC Citation - % Total,BLACK + HISPANIC Search Conducted - % Total
86f042807ffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,-76.98980259970119,39.41136600541839,"((39.55687962065804, -77.00090982301795), (39.5210170161245, -76.96675153608042), (39.37591188024502, -76.95562100319931), (39.26606263232967, -76.97861177346802), (39.301294305053695, -77.01281551280339), (39.447007651542215, -77.02398316226014), (39.55687962065804, -77.00090982301795))",0.0,0.2857142857142857,0.0,0.14285714285714285,0.5714285714285714,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.2857142857142857,,0.0,
86f04280fffffff,5275.0,39.0,81.0,0.0,0.0,171.0,59.0,108.0,714,3831,1137,655,3151,2,52,11,2,14,393,2037,663,401,1762,1,25,7,1,5,9502,-76.94440712348309,39.23101629902844,"((39.37591188024502, -76.95562100319931), (39.34064382694082, -76.92143843732562), (39.1961538725132, -76.91020162656162), (39.08633166814473, -76.93311005451103), (39.12097091101862, -76.96733750237775), (39.26606263232967, -76.97861177346802), (39.37591188024502, -76.95562100319931))",0.07514207535255736,0.40317827825720903,0.11965901915386234,0.06893285624079142,0.33161439696905914,0.02564102564102564,0.6410256410256411,0.1794871794871795,0.02564102564102564,0.1282051282051282,0.07450236966824644,0.3861611374407583,0.1256872037914692,0.07601895734597157,0.3340284360189573,0.024691358024691357,0.6419753086419753,0.13580246913580246,0.024691358024691357,0.1728395061728395,,,30.84795321637427,89.40677966101696,48.842592592592595,,,0.22807017543859648,0.6610169491525424,0.3611111111111111,,,0.47368421052631576,1.3728813559322033,0.75,,,55.567251461988306,161.05084745762713,87.98148148148148,0.5228372974110713,0.8205128205128206,0.5118483412322274,0.7777777777777777
86f042827ffffff,2592.0,0.0,2.0,0.0,0.0,21.0,9.0,14.0,176,423,374,138,2903,0,0,0,1,1,108,290,250,76,1862,0,0,0,0,0,4015,-77.04701827736116,39.33671276446909,"((39.48283828248729, -77.05816262588151), (39.447007651542215, -77.02398316226014), (39.301294305053695, -77.01281551280339), (39.190800306504514, -77.03578996879526), (39.22599333505863, -77.07001486039192), (39.372319472660195, -77.08122000259333), (39.48283828248729, -77.05816262588151))",0.043835616438356165,0.10535491905354918,0.09315068493150686,0.034371108343711085,0.7230386052303861,,,,,,0.041666666666666664,0.11188271604938271,0.09645061728395062,0.029320987654320986,0.7183641975308642,0.0,0.0,0.0,0.5,0.5,,,123.42857142857143,288.0,185.14285714285714,,,0.0,0.0,0.0,,,0.09523809523809523,0.2222222222222222,0.14285714285714285,,,191.1904761904762,446.1111111111111,286.7857142857143,0.19850560398505604,,0.20833333333333331,0.0
86f04282fffffff,20719.0,1083.0,1603.0,10.0,9.0,1090.0,354.0,793.0,2842,20271,8806,3003,12333,36,822,454,36,254,1146,8783,4591,1149,4959,24,525,359,20,155,47355,-77.00156416156301,39.155793313591005,"((39.301294305053695, -77.01281551280339), (39.26606263232967, -76.97861177346802), (39.12097091101862, -76.96733750237775), (39.01050608580684, -76.9902292683778), (39.045102331407335, -77.02447786051708), (39.190800306504514, -77.03578996879526), (39.301294305053695, -77.01281551280339))",0.060014781966001476,0.4280646183085208,0.1859571322985957,0.06341463414634146,0.260437123851758,0.0221606648199446,0.48476454293628807,0.3314866112650046,0.018467220683287166,0.14312096029547552,0.05531154978522129,0.4239104203870843,0.22158405328442493,0.0554563444181669,0.23934552825908587,0.022457891453524642,0.5127885215221459,0.2832189644416719,0.022457891453524642,0.1584529008109794,2071.9,2302.1111111111113,19.008256880733946,58.52824858757062,26.127364438839848,108.3,120.33333333333333,0.9935779816513761,3.059322033898305,1.3656998738965953,160.3,178.11111111111111,1.4706422018348624,4.528248587570621,2.021437578814628,4735.5,5261.666666666667,43.444954128440365,133.77118644067798,59.716267339218156,0.6140217506071165,0.8162511542012927,0.6454944736715093,0.7960074859638178
86f042847ffffff,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,-76.91026698546979,38.797600765916954,"((38.94185936844132, -76.92172995513606), (38.90780608300197, -76.8874793584862), (38.763950967605226, -76.87599421914466), (38.65355721169399, -76.89872130686746), (38.68697952942383, -76.93301561975707), (38.83142798739889, -76.9445392642782), (38.94185936844132, -76.92172995513606))",0.0,0.0,0.0,0.5,0.5,,,,,,0.0,0.0,0.0,0.5,0.5,,,,,,,,,2.0,,,,,0.0,,,,,0.0,,,,,2.0,,0.0,,0.0,
86f042857ffffff,1454.0,23.0,40.0,1.0,1.0,68.0,42.0,39.0,229,1462,399,232,842,2,24,4,1,8,106,626,189,120,408,2,14,3,0,4,3172,-76.89888188082791,39.05187416880067,"((39.1961538725132, -76.91020162656162), (39.16147393459907, -76.87599534600653), (39.01759701111422, -76.86465304379225), (38.90780608300197, -76.8874793584862), (38.94185936844132, -76.92172995513606), (39.08633166814473, -76.93311005451103), (39.1961538725132, -76.91020162656162))",0.07219419924337957,0.4609079445145019,0.12578814627994955,0.07313997477931904,0.26544766708701134,0.08695652173913043,0.6086956521739131,0.13043478260869565,0.0,0.17391304347826086,0.07290233837689133,0.4305364511691884,0.12998624484181567,0.08253094910591471,0.28060522696011003,0.05,0.6,0.1,0.025,0.2,1454.0,1454.0,21.38235294117647,34.61904761904762,37.282051282051285,23.0,23.0,0.3382352941176471,0.5476190476190477,0.5897435897435898,40.0,40.0,0.5882352941176471,0.9523809523809523,1.0256410256410255,3172.0,3172.0,46.64705882352941,75.52380952380952,81.33333333333333,0.5866960907944514,0.7391304347826088,0.5605226960110041,0.7
86f04285fffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-76.85322821746085,38.87393099429199,"((39.01759701111422, -76.86465304379225), (38.98349880733268, -76.83042360547117), (38.84023273073642, -76.81897659330652), (38.73047722327445, -76.84172102611848), (38.763950967605226, -76.87599421914466), (38.90780608300197, -76.8874793584862), (39.01759701111422, -76.86465304379225))",0.0,1.0,0.0,0.0,0.0,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
86f042877ffffff,16229.0,625.0,1189.0,7.0,7.0,819.0,314.0,521.0,2029,21185,6935,2274,6634,30,804,207,19,126,885,8494,3200,842,2760,17,402,125,10,70,39125,-76.95597994577575,38.97609223614997,"((39.12097091101862, -76.96733750237775), (39.08633166814473, -76.93311005451103), (38.94185936844132, -76.92172995513606), (38.83142798739889, -76.9445392642782), (38.86543401522248, -76.97881099436991), (39.01050608580684, -76.9902292683778), (39.12097091101862, -76.96733750237775))",0.051859424920127795,0.5414696485623003,0.1772523961661342,0.05812140575079872,0.1695591054313099,0.0272,0.6432,0.2,0.016,0.112,0.05453201059831166,0.5233840655616488,0.19717789142892353,0.0518824326822355,0.17006593135744655,0.025231286795626577,0.6761984861227922,0.1740958788898234,0.0159798149705635,0.10597140454163162,2318.4285714285716,2318.4285714285716,19.815628815628816,51.68471337579618,31.149712092130518,89.28571428571429,89.28571428571429,0.7631257631257631,1.9904458598726114,1.199616122840691,169.85714285714286,169.85714285714286,1.4517704517704517,3.786624203821656,2.2821497120921306,5589.285714285715,5589.285714285715,47.77167277167277,124.60191082802548,75.09596928982725,0.7187220447284345,0.8432,0.7205619569905723,0.8502943650126156
86f0428e7ffffff,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,5,-76.88725496623212,39.305560411030456,"((39.44985507214445, -76.8984317478467), (39.414552845795704, -76.86427037615056), (39.27066021246513, -76.85307065365714), (39.16147393459907, -76.87599534600653), (39.1961538725132, -76.91020162656162), (39.34064382694082, -76.92143843732562), (39.44985507214445, -76.8984317478467))",0.2,0.8,0.0,0.0,0.0,,,,,,0.2,0.8,0.0,0.0,0.0,,,,,,,,,2.5,,,,,0.0,,,,,0.0,,,,,2.5,,0.8,,0.8,
86f0428efffffff,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,-76.8417883447156,39.12697508137439,"((39.27066021246513, -76.85307065365714), (39.235941825445934, -76.81888556293016), (39.09265592302554, -76.80758068518622), (38.98349880733268, -76.83042360547117), (39.01759701111422, -76.86465304379225), (39.16147393459907, -76.87599534600653), (39.27066021246513, -76.85307065365714))",0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,,,,,,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,,,,,,3.0,,3.0,,,0.0,,0.0,,,0.0,,0.0,,,3.0,,3.0,,,0.6666666666666666,,0.6666666666666666,
