H3 Encoding - Res=8,Citation,Arrest,Search Conducted,Fatal,Alcohol,Accident,Personal Injury,Property Damage,Stops - ASIAN,Stops - BLACK,Stops - HISPANIC,Stops - OTHER,Stops - WHITE,Search Conducted - ASIAN,Search Conducted - BLACK,Search Conducted - HISPANIC,Search Conducted - OTHER,Search Conducted - WHITE,Citation - ASIAN,Citation - BLACK,Citation - HISPANIC,Citation - OTHER,Citation - WHITE,Arrest - ASIAN,Arrest - BLACK,Arrest - HISPANIC,Arrest - OTHER,Arrest - WHITE,Stops,Longitude,Latitude,geometry,Stops - % Total - ASIAN,Stops - % Total - BLACK,Stops - % Total - HISPANIC,Stops - % Total - OTHER,Stops - % Total - WHITE,Arrest - % Total - ASIAN,Arrest - % Total - BLACK,Arrest - % Total - HISPANIC,Arrest - % Total - OTHER,Arrest - % Total - WHITE,Citation - % Total - ASIAN,Citation - % Total - BLACK,Citation - % Total - HISPANIC,Citation - % Total - OTHER,Citation - % Total - WHITE,Search Conducted - % Total - ASIAN,Search Conducted - % Total - BLACK,Search Conducted - % Total - HISPANIC,Search Conducted - % Total - OTHER,Search Conducted - % Total - WHITE,Citation per Fatal,Citation per Alcohol,Citation per Accident,Citation per Personal Injury,Citation per Property Damage,Arrest per Fatal,Arrest per Alcohol,Arrest per Accident,Arrest per Personal Injury,Arrest per Property Damage,Search Conducted per Fatal,Search Conducted per Alcohol,Search Conducted per Accident,Search Conducted per Personal Injury,Search Conducted per Property Damage,Stops per Fatal,Stops per Alcohol,Stops per Accident,Stops per Personal Injury,Stops per Property Damage,BLACK + HISPANIC Stops - % Total,BLACK + HISPANIC Arrest - % Total,BLACK + HISPANIC Citation - % Total,BLACK + HISPANIC Search Conducted - % Total
88f0428011fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-76.9785331547106,39.3232667272771,"((39.34401601890325, -76.98013231664844), (39.33896853666872, -76.9752478542454), (39.318227580009506, -76.97364822111231), (39.30252174077818, -76.97693228917606), (39.30755634602875, -76.98181767410954), (39.328309671818005, -76.9834180688372), (39.34401601890325, -76.98013231664844))",0.0,0.3333333333333333,0.0,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,
88f042803bfffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-76.96867491368,39.3703464585099,"((39.391083636850816, -76.97027038129698), (39.38602258027357, -76.96538727535983), (39.36529372392687, -76.9637913353858), (39.34961356693327, -76.96707774332697), (39.3546617788607, -76.9719617736051), (39.37540299675623, -76.97355847198779), (39.391083636850816, -76.97027038129698))",0.0,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
88f0428081fffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-76.94440712348309,39.23101629902844,"((39.25170278483896, -76.94601420320863), (39.24670292092768, -76.94112822083875), (39.226024726017165, -76.93952067429528), (39.21033411835159, -76.94279834601556), (39.21532114937149, -76.94768524434937), (39.23601162521538, -76.94929355538719), (39.25170278483896, -76.94601420320863))",0.0,0.0,1.0,0.0,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,1.0,,,,,0.0,,,,,0.0,,,,,1.0,,,1.0,,1.0,
88f0428093fffff,769.0,6.0,13.0,0.0,0.0,32.0,7.0,24.0,127,712,208,134,481,0,11,0,0,2,60,324,103,61,218,0,5,0,0,1,1666,-76.92656870835812,39.117751946777155,"((39.13840031157296, -76.92818519803087), (39.133449325200296, -76.92329685781397), (39.11280922844517, -76.92167990574029), (39.097107903134344, -76.92495052473974), (39.1020460626097, -76.92983977422001), (39.122698378515764, -76.93145749582703), (39.13840031157296, -76.92818519803087))",0.07623049219687875,0.42737094837935174,0.12484993997599039,0.08043217286914765,0.2887154861944778,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.07802340702210664,0.4213263979193758,0.13394018205461639,0.07932379713914174,0.2834850455136541,0.0,0.8461538461538461,0.0,0.0,0.15384615384615385,,,24.03125,109.85714285714286,32.041666666666664,,,0.1875,0.8571428571428571,0.25,,,0.40625,1.8571428571428572,0.5416666666666666,,,52.0625,238.0,69.41666666666667,0.5522208883553421,0.8333333333333334,0.5552665799739922,0.8461538461538461
88f0428099fffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-76.94123502458515,39.13260239866829,"((39.153275605367796, -76.94285012494251), (39.14831344753437, -76.93796183177871), (39.127648527773204, -76.93634626796377), (39.111933519333576, -76.93961822805622), (39.11688282481138, -76.94450743204612), (39.13755999532508, -76.94612376550762), (39.153275605367796, -76.94285012494251))",0.0,1.0,0.0,0.0,0.0,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,1.0,,,,,0.0,,,,,0.0,,,,,1.0,,,1.0,,1.0,
88f042809bfffff,2781.0,27.0,58.0,0.0,0.0,110.0,46.0,64.0,393,2316,613,329,1628,2,35,7,2,12,206,1160,334,199,869,1,16,5,1,4,5287,-76.9347290087198,39.10698793330554,"((39.127648527773204, -76.93634626796377), (39.122698378515764, -76.93145749582703), (39.1020460626097, -76.92983977422001), (39.08633166814473, -76.93311005451103), (39.091268971382966, -76.9379997358202), (39.111933519333576, -76.93961822805622), (39.127648527773204, -76.93634626796377))",0.0743332702856062,0.4380556080953282,0.11594477019103461,0.062228106676754304,0.3079250993001702,0.037037037037037035,0.5925925925925926,0.18518518518518517,0.037037037037037035,0.14814814814814814,0.07407407407407407,0.41711614527148505,0.12010068320747933,0.07155699388709097,0.3124775260697591,0.034482758620689655,0.603448275862069,0.1206896551724138,0.034482758620689655,0.20689655172413793,,,25.28181818181818,60.45652173913044,43.453125,,,0.24545454545454545,0.5869565217391305,0.421875,,,0.5272727272727272,1.2608695652173914,0.90625,,,48.06363636363636,114.93478260869566,82.609375,0.5540003782863627,0.7777777777777777,0.5372168284789643,0.7241379310344828
88f04280a3fffff,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,-76.92640218069052,39.2887019892031,"((39.30936422292204, -76.92800481023511), (39.30435003609196, -76.92312061004155), (39.283696069920744, -76.92151751248711), (39.26804403429092, -76.92479785527655), (39.273045439343576, -76.92968297332631), (39.29371166606645, -76.93128683111637), (39.30936422292204, -76.92800481023511))",0.0,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,2.0,,,,,0.0,,,,,0.0,,,,,2.0,,,0.0,,0.0,
88f04280d3fffff,81.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,9,65,28,17,49,0,0,0,0,0,6,28,12,9,26,0,0,0,0,0,168,-76.94939662050625,39.12183585386281,"((39.14252132187432, -76.95101249054754), (39.13755999532508, -76.94612376550762), (39.11688282481138, -76.94450743204612), (39.101154721392014, -76.94777905327146), (39.106103176402314, -76.95266868904756), (39.12679261061714, -76.95428579325305), (39.14252132187432, -76.95101249054754))",0.05357142857142857,0.3869047619047619,0.16666666666666666,0.10119047619047619,0.2916666666666667,,,,,,0.07407407407407407,0.345679012345679,0.14814814814814814,0.1111111111111111,0.32098765432098764,,,,,,,,13.5,81.0,13.5,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,28.0,168.0,28.0,0.5535714285714286,,0.49382716049382713,
88f04280d9fffff,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,-76.96406409087224,39.1367173237832,"((39.157427722270604, -76.96567856853326), (39.152455181201695, -76.96078989224445), (39.13175309921015, -76.95917495010302), (39.11601126707795, -76.96244791378426), (39.1209709110186, -76.96733750237777), (39.14168528848415, -76.96895321537684), (39.157427722270604, -76.96567856853326))",0.0,0.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,3.0,,3.0,,,0.0,,0.0,,,0.0,,0.0,,,3.0,,3.0,0.0,,0.0,
88f04280dbfffff,48.0,0.0,0.0,0.0,0.0,11.0,4.0,8.0,5,29,25,6,21,0,0,0,0,0,3,13,17,2,13,0,0,0,0,0,86,-76.95755830927962,39.11105535691938,"((39.13175309921015, -76.95917495010302), (39.12679261061714, -76.95428579325305), (39.106103176402314, -76.95266868904756), (39.090361958365484, -76.95593997024012), (39.09530955619631, -76.96083003773522), (39.11601126707795, -76.96244791378426), (39.13175309921015, -76.95917495010302))",0.05813953488372093,0.3372093023255814,0.29069767441860467,0.06976744186046512,0.2441860465116279,,,,,,0.0625,0.2708333333333333,0.3541666666666667,0.041666666666666664,0.2708333333333333,,,,,,,,4.363636363636363,12.0,6.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,7.818181818181818,21.5,10.75,0.627906976744186,,0.625,
