,MC Population,Total in Dataset,Accident,Citation,Warning,Probable Cause,Arrest,Search Conducted,Stops
ASIAN,0.156,0.04612,0.045454545454545456,0.048205793341980115,0.055762874506877065,0.02666666666666667,0.02643171806167401,0.03064066852367688,0.05400149588631264
BLACK,0.201,0.35148,0.28512396694214875,0.31041936878512755,0.32956605181789106,0.62,0.3832599118942731,0.4735376044568245,0.31974569932685115
HISPANIC,0.201,0.2578,0.32231404958677684,0.2669693039342845,0.20428617123360698,0.15333333333333332,0.3039647577092511,0.25348189415041783,0.22602842183994015
NATIVE AMERICAN,0.0,0.00048,0.0,0.0008646779074794639,0.0006397270497920887,0.006666666666666667,0.004405286343612335,0.002785515320334262,0.0006731488406881077
OTHER,0.0129999999999999,0.05804,0.03925619834710744,0.057933419801124084,0.07516792835057043,0.02666666666666667,0.022026431718061675,0.016713091922005572,0.07030665669409125
WHITE,0.429,0.28608,0.30785123966942146,0.3156074362300043,0.3345772470412624,0.16666666666666666,0.2599118942731278,0.22284122562674094,0.32924457741211666
